都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計,
7 ,福島県,7208,喜多方市,59 ,3 ,12 ,74 ,57 ,72 ,128 ,48 ,49 ,3 ,0 ,100 ,13 ,316 ,
7 ,福島県,7209,相馬市,219 ,4 ,8 ,231 ,46 ,55 ,101 ,38 ,32 ,2 ,7 ,80 ,5 ,417 ,
7 ,福島県,7210,二本松市,158 ,6 ,10 ,174 ,64 ,77 ,141 ,61 ,65 ,3 ,0 ,129 ,7 ,451 ,
7 ,福島県,7211,田村市,86 ,4 ,8 ,98 ,37 ,49 ,86 ,41 ,49 ,2 ,0 ,92 ,4 ,279 ,
7 ,福島県,7212,南相馬市,76 ,7 ,7 ,90 ,75 ,93 ,167 ,69 ,82 ,4 ,0 ,154 ,10 ,422 ,
7 ,福島県,7213,伊達市,148 ,5 ,10 ,163 ,65 ,87 ,152 ,65 ,61 ,4 ,0 ,130 ,11 ,456 ,
7 ,福島県,7214,本宮市,191 ,3 ,3 ,197 ,45 ,42 ,86 ,34 ,38 ,2 ,0 ,74 ,4 ,362 ,
7 ,福島県,7301,桑折町,42 ,1 ,1 ,44 ,13 ,18 ,30 ,12 ,12 ,1 ,0 ,25 ,2 ,102 ,
7 ,福島県,7303,国見町,10 ,1 ,1 ,11 ,11 ,13 ,24 ,9 ,14 ,1 ,0 ,24 ,2 ,61 ,
7 ,福島県,7308,川俣町,25 ,2 ,1 ,28 ,15 ,21 ,36 ,14 ,13 ,1 ,0 ,28 ,3 ,95 ,
7 ,福島県,7322,大玉村,11 ,1 ,3 ,15 ,8 ,11 ,19 ,10 ,12 ,1 ,0 ,23 ,1 ,58 ,
7 ,福島県,7342,鏡石町,48 ,1 ,1 ,50 ,12 ,18 ,30 ,14 ,11 ,1 ,0 ,26 ,2 ,108 ,
7 ,福島県,7344,天栄村,7 ,1 ,3 ,11 ,5 ,8 ,13 ,7 ,8 ,0 ,0 ,15 ,1 ,40 ,
7 ,福島県,7362,下郷町,4 ,1 ,4 ,9 ,7 ,9 ,15 ,6 ,8 ,0 ,0 ,13 ,1 ,39 ,
7 ,福島県,7364,檜枝岐村,0 ,0 ,1 ,1 ,2 ,1 ,3 ,0 ,1 ,0 ,0 ,1 ,0 ,5 ,
7 ,福島県,7367,只見町,4 ,1 ,5 ,10 ,5 ,7 ,12 ,4 ,7 ,0 ,0 ,11 ,1 ,34 ,
7 ,福島県,7368,南会津町,8 ,2 ,10 ,20 ,24 ,25 ,50 ,15 ,21 ,1 ,0 ,38 ,2 ,110 ,
7 ,福島県,7402,北塩原村,1 ,0 ,0 ,1 ,6 ,4 ,10 ,3 ,4 ,0 ,0 ,7 ,1 ,20 ,
7 ,福島県,7405,西会津町,5 ,1 ,2 ,7 ,6 ,10 ,16 ,6 ,8 ,0 ,0 ,14 ,2 ,39 ,
7 ,福島県,7407,磐梯町,37 ,0 ,2 ,39 ,4 ,5 ,9 ,4 ,4 ,0 ,0 ,8 ,1 ,56 ,
7 ,福島県,7408,猪苗代町,6 ,1 ,6 ,13 ,21 ,20 ,41 ,15 ,17 ,1 ,1 ,33 ,2 ,90 ,
7 ,福島県,7421,会津坂下町,12 ,2 ,5 ,19 ,20 ,23 ,43 ,16 ,18 ,1 ,0 ,35 ,2 ,99 ,
7 ,福島県,7422,湯川村,7 ,0 ,1 ,8 ,2 ,4 ,6 ,3 ,4 ,0 ,0 ,8 ,0 ,22 ,
7 ,福島県,7423,柳津町,4 ,0 ,1 ,6 ,4 ,5 ,9 ,3 ,4 ,0 ,0 ,8 ,0 ,23 ,
7 ,福島県,7444,三島町,0 ,0 ,1 ,1 ,2 ,3 ,5 ,1 ,2 ,0 ,0 ,4 ,0 ,10 ,
7 ,福島県,7445,金山町,0 ,0 ,2 ,2 ,3 ,4 ,7 ,2 ,3 ,0 ,0 ,5 ,0 ,14 ,
7 ,福島県,7446,昭和村,0 ,0 ,1 ,1 ,1 ,3 ,4 ,1 ,2 ,0 ,0 ,3 ,0 ,9 ,
7 ,福島県,7447,会津美里町,12 ,2 ,11 ,25 ,17 ,28 ,45 ,21 ,21 ,1 ,0 ,43 ,3 ,116 ,
7 ,福島県,7461,西郷村,199 ,1 ,18 ,219 ,25 ,32 ,57 ,25 ,17 ,1 ,0 ,43 ,2 ,322 ,
7 ,福島県,7464,泉崎村,69 ,1 ,7 ,76 ,6 ,9 ,15 ,8 ,8 ,0 ,0 ,16 ,1 ,108 ,
